Level	Rule Name	Subject	Property	Value
ERROR	deprecated_boolean_datatype	is-aggregate-of	owl:deprecated	true@en
ERROR	deprecated_boolean_datatype	discipline	owl:deprecated	TRUE
ERROR	deprecated_class_reference	planned process	rdfs:subClassOf	a49fd115-a4da-4c26-92d8-e7e516824374genid5030
ERROR	deprecated_class_reference	planned process	rdfs:subClassOf	process
ERROR	deprecated_class_reference	planned process	rdfs:subClassOf	completely executed planned process
ERROR	deprecated_class_reference	planned process	rdfs:subClassOf	material extraction process
ERROR	deprecated_class_reference	planned process	rdfs:subClassOf	manufacturing process
ERROR	deprecated_class_reference	planned process	rdfs:subClassOf	human-directed construction process
ERROR	deprecated_class_reference	planned process	rdfs:subClassOf	planned environmental usage process
ERROR	deprecated_class_reference	planned process	rdfs:subClassOf	anthropogenic modulatory intervention process
ERROR	deprecated_class_reference	planned process	rdfs:subClassOf	environmental monitoring
ERROR	deprecated_class_reference	planned process	rdfs:subClassOf	radiobiology study type
ERROR	deprecated_class_reference	planned process	rdfs:subClassOf	planned radiation exposure
ERROR	deprecated_class_reference	planned process	rdfs:subClassOf	planned anthropogenic radiation exposure
ERROR	deprecated_class_reference	planned process	rdfs:subClassOf	research mission
ERROR	deprecated_class_reference	planned process	owl:disjointWith	biological_process
ERROR	deprecated_class_reference	planned process	owl:equivalentClass	a49fd115-a4da-4c26-92d8-e7e516824374genid5028
ERROR	deprecated_class_reference	obsolete device	rdfs:subClassOf	a49fd115-a4da-4c26-92d8-e7e516824374genid5201
ERROR	deprecated_class_reference	obsolete device	rdfs:subClassOf	sensor
ERROR	deprecated_class_reference	obsolete device	rdfs:subClassOf	processed material
ERROR	deprecated_class_reference	BBS	rdfs:subClassOf	Phone
ERROR	deprecated_class_reference	Car	rdfs:subClassOf	Phone
ERROR	deprecated_class_reference	Dom	rdfs:subClassOf	Type
ERROR	deprecated_class_reference	ISDN	rdfs:subClassOf	Type
ERROR	deprecated_class_reference	Internet	rdfs:subClassOf	Type
ERROR	deprecated_class_reference	Intl	rdfs:subClassOf	Type
ERROR	deprecated_class_reference	Label	rdfs:subClassOf	Type
ERROR	deprecated_class_reference	Modem	rdfs:subClassOf	Phone
ERROR	deprecated_class_reference	Msg	rdfs:subClassOf	Phone
ERROR	deprecated_class_reference	PCS	rdfs:subClassOf	Phone
ERROR	deprecated_class_reference	Parcel	rdfs:subClassOf	Type
ERROR	deprecated_class_reference	Postal	rdfs:subClassOf	Type
ERROR	deprecated_class_reference	Pref	rdfs:subClassOf	Type
ERROR	deprecated_class_reference	X400	rdfs:subClassOf	Type
ERROR	deprecated_class_reference	blank node	owl:allValuesFrom	planned process
ERROR	duplicate_definition	cis-lunar space	textual definition	The region of space between the Earth and the Moon
ERROR	duplicate_definition	cis-lunar space environment	textual definition	The region of space between the Earth and the Moon
ERROR	duplicate_definition	cis-mars space	textual definition	The region of space between the Earth and Mars
ERROR	duplicate_definition	cis-mars space environment	textual definition	The region of space between the Earth and Mars
ERROR	duplicate_definition	planet surface	textual definition	The outermost solid or liquid area of a planet
ERROR	duplicate_definition	planet surface	textual definition	The outermost solid or liquid area of a planet
ERROR	duplicate_definition	mars surface	textual definition	The area of the Mars landmass exposed to the Martian atmosphere
ERROR	duplicate_definition	mars surface	textual definition	The area of the Mars landmass exposed to the Martian atmosphere
ERROR	duplicate_definition	lunar surface	textual definition	The area of the lunar landmass exposed to space
ERROR	duplicate_definition	lunar surface	textual definition	The area of the lunar landmass exposed to space
ERROR	duplicate_definition	biospecimen category	textual definition	Multicellular, connected anatomical structure that has multiple organs as parts and whose parts work together to achieve some shared function.
ERROR	duplicate_definition	anatomical system	textual definition	Multicellular, connected anatomical structure that has multiple organs as parts and whose parts work together to achieve some shared function.
ERROR	duplicate_definition	molecular entity	textual definition	Any constitutionally or isotopically distinct atom, molecule, ion, ion pair, radical, radical ion, complex, conformer etc., identifiable as a separately distinguishable entity.
ERROR	duplicate_definition	molecule	textual definition	Any constitutionally or isotopically distinct atom, molecule, ion, ion pair, radical, radical ion, complex, conformer etc., identifiable as a separately distinguishable entity.
ERROR	duplicate_definition	mars orbit	textual definition	A region of space defined by a regular, repeating path of a specified object about Mars
ERROR	duplicate_definition	mars orbit	textual definition	A region of space defined by a regular, repeating path of a specified object about Mars
ERROR	duplicate_definition	lunar orbit	textual definition	A region of space defined by a regular, repeating path of a specified object about Earth's moon
ERROR	duplicate_definition	lunar orbit	textual definition	A region of space defined by a regular, repeating path of a specified object about Earth's moon
ERROR	duplicate_definition	radiation dose	textual definition	"A measurement datum of the quantity of radiation absorbed by a substance or organism. The term \""radiation dose\"" may for example refer to absorbed dose, organ dose, dose equivalent or equivalent dose, depending upon context and weighting factor(s)."
ERROR	duplicate_definition	radiation dose	textual definition	"A measurement datum of the quantity of radiation absorbed by a substance or organism. The term \""radiation dose\"" may for example refer to absorbed dose, organ dose, dose equivalent or equivalent dose, depending upon context and weighting factor(s)."
ERROR	duplicate_definition	atom	textual definition	A chemical entity constituting the smallest component of an element having the chemical properties of the element.
ERROR	duplicate_definition	atom	textual definition	A chemical entity constituting the smallest component of an element having the chemical properties of the element.
ERROR	duplicate_label	Video	label	Video@en
ERROR	duplicate_label	Video	label	Video@en
ERROR	duplicate_label	Vehicle	label	Vehicle@en
ERROR	duplicate_label	Vehicle	label	Vehicle@en
ERROR	duplicate_label	unplanned naturally occurring radiation exposure	label	unplanned naturally occurring radiation exposure
ERROR	duplicate_label	unplanned naturally occurring radiation exposure	label	unplanned naturally occurring radiation exposure
ERROR	duplicate_label	therapeutics study	label	therapeutics study
ERROR	duplicate_label	therapeutics study	label	therapeutics study
ERROR	duplicate_label	strain	label	strain
ERROR	duplicate_label	strain	label	strain
ERROR	duplicate_label	species	label	species
ERROR	duplicate_label	species	label	species
ERROR	duplicate_label	sex	label	sex
ERROR	duplicate_label	sex	label	sex
ERROR	duplicate_label	root	label	root
ERROR	duplicate_label	root	label	root
ERROR	duplicate_label	role	label	role
ERROR	duplicate_label	role	label	role@en
ERROR	duplicate_label	role	label	role
ERROR	duplicate_label	role	label	role@en
ERROR	duplicate_label	radiation dose	label	radiation dose
ERROR	duplicate_label	radiation dose	label	radiation dose
ERROR	duplicate_label	quality	label	quality
ERROR	duplicate_label	quality	label	quality
ERROR	duplicate_label	protein	label	protein
ERROR	duplicate_label	protein	label	protein
ERROR	duplicate_label	planned process	label	planned process@en
ERROR	duplicate_label	planned process	label	planned process@en
ERROR	duplicate_label	planet surface	label	planet surface
ERROR	duplicate_label	planet surface	label	planet surface
ERROR	duplicate_label	participates in	label	participates in@en
ERROR	duplicate_label	participates in	label	participates in@en
ERROR	duplicate_label	organization	label	organization@en
ERROR	duplicate_label	Organization	label	Organization@en
ERROR	duplicate_label	organization	label	organization@en
ERROR	duplicate_label	Organization	label	Organization@en
ERROR	duplicate_label	organismal entity	label	organismal entity@en
ERROR	duplicate_label	organismal entity	label	organismal entity@en
ERROR	duplicate_label	organism	label	organism@en
ERROR	duplicate_label	organism	label	organism@en
ERROR	duplicate_label	nuclear accident study	label	nuclear accident study
ERROR	duplicate_label	nuclear accident study	label	nuclear accident study
ERROR	duplicate_label	Motorcycle	label	Motorcycle@en
